Date,Price,Open,High,Low,Vol.,Change %
27-Oct-10,704.13,699.63,707.13,687.88,-,0.61%
26-Oct-10,699.88,675.38,700.75,670.75,-,3.65%
25-Oct-10,675.25,675.75,684.63,670.13,-,0.09%
24-Oct-10,674.63,669.5,676.13,669.25,-,0.67%
22-Oct-10,670.13,671.13,675.88,665.13,-,-0.04%
21-Oct-10,670.38,692.13,692.38,667.38,-,-3.09%
20-Oct-10,691.75,674.75,691.75,674.13,-,2.52%
19-Oct-10,674.75,693.63,696.38,668.63,-,-2.58%
18-Oct-10,692.63,706.88,708.38,688.88,-,-2.05%
17-Oct-10,707.13,702.25,707.38,699.75,-,0.64%
15-Oct-10,702.63,705.63,713.63,695.13,-,-0.30%
14-Oct-10,704.75,706.88,711.88,697.88,-,-0.16%
13-Oct-10,705.88,712.75,721.5,695.13,-,-0.86%
12-Oct-10,712,709,719.38,703.13,-,0.44%
11-Oct-10,708.88,725.25,732.88,703.13,-,-2.27%
10-Oct-10,725.38,737.63,738,716.25,-,0.83%
08-Oct-10,719.38,662.13,721.13,657.25,-,8.71%
07-Oct-10,661.75,660.5,675.88,656.63,-,0.21%
06-Oct-10,660.38,666.75,673.13,655.13,-,-0.94%
05-Oct-10,666.63,648.25,667.63,644.5,-,2.83%
04-Oct-10,648.25,653.75,655.38,643.75,-,-0.75%
03-Oct-10,653.13,650.88,655.13,646.5,-,-0.19%
01-Oct-10,654.38,674.88,678.25,647.13,-,-3.22%
30-Sep-10,676.13,682.88,684.88,651.13,-,-1.04%
29-Sep-10,683.25,685.63,688.13,663.5,-,-0.36%
28-Sep-10,685.75,702.25,707.63,683.88,-,-2.23%
27-Sep-10,701.38,728.88,730.75,700.25,-,-3.74%
26-Sep-10,728.63,721.63,728.88,721.13,-,1.22%
24-Sep-10,719.88,698.13,722.88,698.13,-,3.04%
23-Sep-10,698.63,716.13,717.13,693.38,-,-2.41%
22-Sep-10,715.88,723.5,731.38,713.63,-,-1.07%
21-Sep-10,723.63,727.63,733.88,716.75,-,-0.48%
20-Sep-10,727.13,744.5,756.75,727.13,-,-2.38%
19-Sep-10,744.88,739.63,744.88,738.25,-,0.90%
17-Sep-10,738.25,725.13,742.63,724.88,-,1.85%
16-Sep-10,724.88,729.63,737.25,711.88,-,-0.75%
15-Sep-10,730.38,737.5,743.88,723.25,-,-0.95%
14-Sep-10,737.38,746.75,750.63,730.88,-,-1.35%
13-Sep-10,747.5,735.13,753.38,735,-,1.72%
12-Sep-10,734.88,737.63,738.63,732.63,-,-0.34%
10-Sep-10,737.38,734.5,744.25,717.63,-,0.37%
09-Sep-10,734.63,713.88,742.63,706.13,-,2.94%
08-Sep-10,713.63,733,735.25,708.63,-,-2.76%
07-Sep-10,733.88,741.38,746.5,727.38,-,-1.03%
06-Sep-10,741.5,741.13,748.25,737,-,0.05%
05-Sep-10,741.13,741.13,741.13,741.13,-,-0.08%
03-Sep-10,741.75,715.13,741.75,714.13,-,3.72%
02-Sep-10,715.13,708.25,722.63,707.5,-,1.04%
01-Sep-10,707.75,689.38,711.25,688.63,-,2.67%
31-Aug-10,689.38,702.13,713.88,683.75,-,-1.78%
30-Aug-10,701.88,705,728.63,697.5,-,-0.41%
29-Aug-10,704.75,694.25,705.88,694.25,-,1.64%
27-Aug-10,693.38,694.38,704.75,687.38,-,-0.22%
26-Aug-10,694.88,685.88,697.38,685.25,-,1.31%
25-Aug-10,685.88,704.25,716.13,679.38,-,-2.61%
24-Aug-10,704.25,722.5,722.75,700.63,-,-2.51%
23-Aug-10,722.38,712.88,729,712.5,-,1.28%
22-Aug-10,713.25,711.25,713.38,709.63,-,0.28%
